youtube_video_id,language,domain,primary_category,subtopics,content_type,title,channel,duration_seconds,evidence,confidence
eRkTxPlcFQw,en,road,wet_weather,rain_strategy|wet_cornering,technique,Safe Rain and Wet Weather Riding Tips - Be SAFE,Good Guy Biker,542,youtube_search_metadata,medium
2XsUcFxuUQY,en,road,road_strategy,night_visibility|hazard_perception,explainer,Watch this before you ride a motorcycle at night,MCrider - Motorcycle Training,782,youtube_search_metadata,medium
rfhCyasgiiY,en,road,road_strategy,night_visibility|hazard_perception,explainer,One Very Common Night Motorcycle Riding Hazard,DanDanTheFireman,218,youtube_search_metadata,medium
denM-tFXlcs,en,road,road_strategy,night_visibility|hazard_perception,explainer,How To Ride A Motorcycle At Night/6 Tips,Prorider Central Texas YouTube,366,youtube_search_metadata,medium
Q0Pg6ytOXVw,en,road,road_strategy,night_visibility|hazard_perception,explainer,NO FEAR Riding At Night,MotoJitsu®,87,youtube_search_metadata,medium
UmYgdYBXADY,en,road,road_strategy,hazard_perception|lane_position,explainer,Stop Riding Your Motorcycle Like a Car: 9 Dangerous Habits Explained,Easy Bike Guide,526,youtube_search_metadata,medium
S_RhILvCuD8,en,road,road_strategy,hazard_perception|lane_position,explainer,Top 10 Defensive Driving Tips For Motorcycle Riding  to help you stay alive and safe on the road,Gray Beard Biker,905,youtube_search_metadata,medium
FcxxNhrte6o,en,offroad_adventure,riding_position,standing_position|neutral_body_position,technique,Body Position for OffRoad & Adventure riding.,XEnduro OffRoad Training Academy,208,youtube_search_metadata,medium
7Ep1UqOlgss,en,offroad_adventure,riding_position,standing_position|neutral_body_position,technique,How to Stand while Riding Off-Road Motorcycles: Essential Techniques for ADV Riders,ADVMotoSkillZ,315,youtube_search_metadata,medium
gFXAEsSEbEA,en,offroad_adventure,offroad_basics,offroad_foundations,technique,3 Skills Every New Adventure Rider Should Practice!,The Moto Barista,272,youtube_search_metadata,medium
HZeZ01ZaDVs,en,offroad_adventure,offroad_basics,offroad_foundations,technique,How to ride Adventure motorcycle - for beginners,Dirt N Iron,783,youtube_search_metadata,medium
U1GLOiTAohk,en,offroad_adventure,gravel_dirt,gravel_stability|offroad_line_selection,technique,The Most Overlooked Gravel Riding Skill |  MiniTip Monday,Brake Magazine,539,youtube_search_metadata,medium
o9nOs9NVnKE,en,offroad_adventure,sand,sand_momentum|deep_sand,technique,Riding 3 Types of Sand / ADV Motorcycle Techniques / BMW R1250GSA,MOTOTREK,612,youtube_search_metadata,medium
U10E123mrYc,en,offroad_adventure,sand,sand_momentum|deep_sand,technique,How to ride sand on an Adventure Bike | MiniTip Monday,Brake Magazine,431,youtube_search_metadata,medium
snjYumlKMJw,en,offroad_adventure,sand,sand_momentum|deep_sand,technique,How to Ride a Dirt Bike in Deep Sand | 3 Tips That WILL Help You Master Riding in the Sand,Raijin Racing,536,youtube_search_metadata,medium
eLgD0ZVj05o,en,offroad_adventure,sand,sand_momentum|deep_sand,technique,5 FUNDAMENTAL SAND Riding Techniques~DUAL SPORT...DEEP SAND,Story Moto ADV,514,youtube_search_metadata,medium
VceHUU0WnTI,en,offroad_adventure,sand,sand_momentum|deep_sand,technique,How To Rail Corners In Deep Sand,The Moto Academy Podcast,287,youtube_search_metadata,medium
i8rywrWuAqw,en,offroad_adventure,offroad_turning,offroad_cornering|offroad_line_selection,technique,Learn How To Ride Fast & Safe Around Corners Offroad Techniques / BMW R1250GSA,MOTOTREK,380,youtube_search_metadata,medium
p-xKVEiqsr0,en,offroad_adventure,riding_position,standing_position|neutral_body_position,technique,Controlling Enduro Bike Standing Up| Offroad Riding Technique,SoCal Off-Road School,327,youtube_search_metadata,medium
M8-J26oUIEI,en,offroad_adventure,hills,hill_approach|hill_momentum,technique,How To Do Hard Enduro Hillclimb Techniques!,IRC Tire USA Moto,425,youtube_search_metadata,medium
jJbqqwiVZYM,en,offroad_adventure,hills,hill_approach|hill_momentum,technique,How to Hill Climb on a Dirt Bike| Enduro Riding Tip,SoCal Off-Road School,255,youtube_search_metadata,medium
w5ymN-FU75k,en,offroad_adventure,hills,hill_approach|hill_momentum,technique,HOW TO RIDE DIFFICULT HILL CLIMBS: AN OFF-ROAD MOTORBIKE LESSON IN HANOI ,Dirt Bike Academy,260,youtube_search_metadata,medium
M5yAd24z5y0,en,offroad_adventure,hills,hill_approach|hill_momentum,technique,Chris Birch Hill Climb Tips - KTM1190 Adventure R,Motorcycle Adventure Dirtbike TV,179,youtube_search_metadata,medium
mBFRc7cClJo,en,offroad_adventure,descents,steep_descent|brake_coordination,technique,Trail Riding Tips: How To Ride Down Steep Descents,Megs Braap,234,youtube_search_metadata,medium
7wt8btf9DyM,en,offroad_adventure,ruts,rut_line|offroad_line_selection,technique,How To Ride Straight Ruts On Trails Without Losing Your Balance,MXHideout,153,youtube_search_metadata,medium
R3VrRIOGWWY,en,offroad_adventure,obstacles,logs_ledges|rock_steps,technique,How to Ride Your ADV Motorcycle Over Obstacles - No Need to Turn Around and Go Back - R1200GS,MOTOTREK,343,youtube_search_metadata,medium
6v3_XhGVQJ8,en,offroad_adventure,obstacles,logs_ledges|rock_steps,technique,"How to ride short climbs, rock faces & ledges︱Cross Training Enduro",Cross Training Enduro,282,youtube_search_metadata,medium
Xmd8KedFXYg,en,offroad_adventure,obstacles,logs_ledges|rock_steps,technique,How To Ride Steep Rock Faces and Ledges| Enduro Riding Tip,SoCal Off-Road School,127,youtube_search_metadata,medium
5SlHGlyzF7w,en,offroad_adventure,mud_wet,mud_traction|water_assessment,technique,How to ride wet terrain and mud on dirt bikes︱Cross Training Enduro,Cross Training Enduro,371,youtube_search_metadata,medium
0hI2YTTF5Z4,en,offroad_adventure,offroad_basics,offroad_foundations,explainer,8 QUICK TIPS  for Adventure Motorcycle Riders / BMW R1250 GS,MOTOTREK,485,youtube_search_metadata,medium
2qcnOx2UMt4,en,safety_recovery,lifting,bike_lift_hill,technique,How to Pick Up a Dirt Bike on a Hill |Enduro Riding Tip,SoCal Off-Road School,169,youtube_search_metadata,medium
USVn82stPho,en,safety_recovery,recovery,sand_mud_recovery,technique,3 Easy Tricks To Get Your Motorcycle Unstuck| Adventure Motorcycle Off Road Riding Tip,SoCal Off-Road School,287,youtube_search_metadata,medium
21golINzets,en,mixed,tires_setup,tire_pressure|tire_choice,explainer,"2 Minute Moto - Street, Track, ADV, & Off-Road Tire Pressures",RevZilla,250,youtube_search_metadata,medium
otnEotD6Y3c,en,mixed,tires_setup,tire_pressure|tire_choice,explainer,Tyre Pressure Is More Important Than Your Suspension!,Adventure Bike Experience ,224,youtube_search_metadata,medium
S371SeT-b4M,en,mixed,tires_setup,tire_pressure|tire_choice,explainer,Motorcycle Tire Pressure and Why It’s Important! | MC GARAGE,Motorcyclist Magazine,147,youtube_search_metadata,medium
CI6h7XtyINY,en,mixed,suspension_setup,sag_preload|damping_basics,maintenance_howto,Motorcycle Suspension adjustments: Basic tutorial (T7) 1/3,OFFroad-OFFcourse,325,youtube_search_metadata,medium
CivTmdpBies,en,mixed,suspension_setup,sag_preload|damping_basics,maintenance_howto,KTM 790 / 890 Adventure R Suspension Tips,UPSHIFT ONLINE,369,youtube_search_metadata,medium
kBZ1ormGpog,en,mixed,suspension_setup,sag_preload|damping_basics,maintenance_howto,2 Clicks Out: Adventure Touring Suspension Setup for Dirt & Street Intro,Dave Moss Tuning,187,youtube_search_metadata,medium
uKhJBWNJ8Ys,en,mixed,suspension_setup,sag_preload|damping_basics,maintenance_howto,Motorcycle suspension EXPLAINED - and how to set it up,Robert Baldinger,1013,youtube_search_metadata,medium
jeijOYcnlvU,en,mixed,suspension_setup,sag_preload|damping_basics,maintenance_howto,Motorcycle Suspension tutorial: Sag and Preload (T7) 2/3,OFFroad-OFFcourse,763,youtube_search_metadata,medium
DmkKmo5XVE0,en,touring_travel,pre_trip_inspection,pre_ride_tclocs,checklist,Pre Ride Checklist for your Harley- Davidson,Emerald City Harley-Davidson,77,youtube_search_metadata,medium
JgcBkvlE6lo,en,road,road_cornering,trail_braking|entry_speed|brake_coordination,explainer,Should you brake while turning? Motorcycle riding tips,Bennetts BikeSocial,248,description|captions_available|youtube_search_metadata,medium
_u44__eZ_Ug,en,touring_travel,pre_trip_inspection,pre_ride_tclocs,checklist,Motorcycle Preride Inspection,PSS MEP,442,youtube_search_metadata,medium
Fz2XB6_63l4,en,touring_travel,pre_trip_inspection,rental_inspection|pre_ride_tclocs,checklist,Preride inspection for rental motorcycle,Bret Tkacs ADV,280,youtube_search_metadata,medium
84ZNjxLHjmc,en,mixed,motorcycle_maintenance,chain_care,maintenance_howto,How To Clean & Lube a Motorcycle Chain - Maintenance Monday - Episode 1,Gliddon Motorcycles,405,youtube_search_metadata,medium
RA6OPG_cFms,en,mixed,motorcycle_maintenance,chain_care,maintenance_howto,How To Check and Adjust Your Motorcycle Chain | MC Garage,Motorcyclist Magazine,236,youtube_search_metadata,medium
rejkYx8SgVc,en,mixed,motorcycle_maintenance,chain_care,maintenance_howto,Motorcycle chain maintenance tips while traveling,Bret Tkacs ADV,583,youtube_search_metadata,medium
erpkyD7SMfw,en,touring_travel,group_riding,group_formation|group_briefing|leader_sweep,touring_guide,Motorcycle Safety Foundation Guide To Group Riding,Motorcycle Safety Foundation,600,youtube_search_metadata,medium
hQAPTHLg3Go,en,touring_travel,group_riding,group_formation|group_briefing|leader_sweep,touring_guide,Group riding tips and techniques,MCrider - Motorcycle Training,673,youtube_search_metadata,medium
zhMvb5-EJQ8,en,touring_travel,group_riding,group_formation|group_briefing|leader_sweep,touring_guide,Guide to group motorcycle riding,hamlesh,193,youtube_search_metadata,medium
nJtV9JxZ3wY,en,touring_travel,group_riding,group_formation|group_briefing|leader_sweep,touring_guide,Scared Of Going On A Group Ride? Here Are 5 Tips To Help You Out,DanDanTheFireman,629,youtube_search_metadata,medium
mPgGjQBkSv4,en,touring_travel,group_riding,group_formation|group_briefing|leader_sweep,touring_guide,Motorcycle Group Riding - Technical Tip 1: Correct Group Formation,Prince George Motorcycle Owners,207,youtube_search_metadata,medium
FTVaL-a3XUo,en,touring_travel,group_riding,group_formation|group_briefing|leader_sweep,touring_guide,How To Ride With Other Motorcycles!,Spicy110,567,youtube_search_metadata,medium
yW7GW4ILInI,en,touring_travel,fatigue_management,long_distance_pacing|fatigue_breaks,touring_guide,Long Distance Riding Tips | Motorcycle Riding,Howcast,95,youtube_search_metadata,medium
KC1sVC1tDbs,en,touring_travel,fatigue_management,long_distance_pacing|fatigue_breaks,touring_guide,5 Tips for Long Distance Motorcycle Riding,Killswitch Queen,442,youtube_search_metadata,medium
GinzCxHMViI,en,touring_travel,packing_luggage,packing_balance,touring_guide,Packing Smart Matters More Than Packing More 🏍️ | Motorcycle Packing Tips,ViaTerra Gear,113,youtube_search_metadata,medium
gpOpgtUzjqI,en,touring_travel,route_navigation,gpx_workflow|route_legality|offline_navigation,touring_guide,The Definitive Guide to Off-road trail riding and navigation - Know where you can legally ride,Two Wheeled Adventures UK,3119,youtube_search_metadata,medium
05DDi3qweE0,he,offroad_adventure,offroad_basics,offroad_foundations|neutral_body_position,technique,איך לא ליפול בשטח עם אופנוע,Cohen Adventure (‫צביקה כהן השטח‬‎),425,youtube_search_metadata|description,medium
mi6-lTRzFkI,he,offroad_adventure,hills,hill_approach|hill_momentum,technique,דגשים לרכיבת שטח בעליות,Cohen Adventure (‫צביקה כהן השטח‬‎),216,youtube_search_metadata|description,medium
xl3emOAywZ8,he,road,road_cornering,countersteering,explainer,טיפ: ביצוע היגוי הפוך באופנוע,ProRiding Israel,145,youtube_search_metadata|description,medium
ysyoSLg8gqE,he,mixed,ergonomics,control_setup,maintenance_howto,מדריך טכני: כיוון כידון ומנופים,FullgaZ Magazine,139,youtube_search_metadata|description,medium
CaMfDrjMFi4,he,road,wet_weather,rain_strategy,explainer,קצרים על בטיחות | איך רוכבים בגשם ועל כביש רטוב?,Ask Ralbad,121,youtube_search_metadata|description,medium
M9bBUVyagRY,he,safety_recovery,protective_gear,protective_gear_selection,explainer,ציוד רכיבה,Cohen Adventure (‫צביקה כהן השטח‬‎),574,youtube_search_metadata|description,medium
tBzG_y2mhHU,he,mixed,electronic_aids,abs_strategy,explainer,טיפ: הכרת היתרונות והחסרונות של מערכת ה-ABS באופנוע ובקטנוע,ProRiding Israel,78,youtube_search_metadata|description,medium
up-0FSj9Mcs,he,touring_travel,roadside_repairs,tire_repair_tube|field_repair,maintenance_howto,איך לתקן פנצ'ר בגלגל עם פנימית באופנוע,Cohen Adventure (‫צביקה כהן השטח‬‎),620,youtube_search_metadata|description,medium
_kUzaGCzuvQ,he,mixed,ergonomics,mirror_setup,maintenance_howto,טיפ: איך לכוון נכון את מראות האופנוע?,ProRiding Israel,142,youtube_search_metadata|description,medium
UMdUg4zfh2g,he,safety_recovery,protective_gear,helmet_fit,explainer,טיפ: איך לבחור קסדה נכונה לרוכב אופנוע או קטנוע?,ProRiding Israel,381,youtube_search_metadata|description,medium
e8w0uYHGCWs,he,road,riding_position,neutral_body_position,technique,תנוחת רכיבה על אופנוע,ProRiding Israel,153,youtube_search_metadata|description,medium
W4n81NgcRDg,he,road,road_cornering,countersteering,explainer,ASK Ralbad | איך לבצע היגוי נגדי באופנוע?,Ask Ralbad,43,youtube_search_metadata|description,medium
FXZLg82hwnU,he,road,road_cornering,entry_speed|vision_line,explainer,מה עושים אם מגיעים לפנייה או סיבוב ומגלים שהגענו מהר מדי? כל התשובות בסרטון.,משה פרחי - רכיבה מתקדמת,148,youtube_search_metadata|description,medium
HM7mDohvCZo,he,offroad_adventure,hills,hill_approach|loose_rock_line,technique,לימוד רכיבת שטח בעלייה עם דרדרת,Cohen Adventure (‫צביקה כהן השטח‬‎),473,youtube_search_metadata|description,medium
BHZ2mSbXkbw,he,mixed,tires_setup,tire_choice|tire_pressure,explainer,טיפ על צמיגי אופנוע - פרוריידינג,ProRiding Israel,105,youtube_search_metadata|description,medium
t9ah2d7bW1w,he,touring_travel,roadside_repairs,tire_repair_tube|field_repair,maintenance_howto,החלפת פנימית - באופנוע שטח או קטנוע,הכלך האבוד,1237,youtube_search_metadata|description,medium
PYeiGbg6_bU,he,mixed,tires_setup,tire_choice|field_repair,maintenance_howto,מדריך טכני: החלפת צמיג ומוס באופנוע שטח,FullgaZ Magazine,449,youtube_search_metadata|description,medium
dwsml9_0Ol8,he,mixed,motorcycle_maintenance,chain_care,maintenance_howto,ניב אופנועים - טיפים לבדיקת שרשרת באופנוע,nivmoto,165,youtube_search_metadata|description|captions_available,high
_jfkeh4b2ks,he,mixed,motorcycle_maintenance,chain_care,maintenance_howto,שרשרת לאופנוע - טיפים והמלצות לשימון וכיוון שרשרת,אתר מידרג,133,youtube_search_metadata|description,medium
JYJnIDwEFdg,he,touring_travel,pre_trip_inspection,winter_preparation|pre_ride_tclocs,checklist,בדיקות חורף | הכנה של האופנוע והקטנוע לחורף | מומנט אופנועים - ירושלים,מומנט אופנועים - מקצוענות מעל הכל,138,youtube_search_metadata|description,medium
