youtube_video_id,youtube_url,language,channel_name,title_original,decision,evidence_types,classification_confidence,quality_score,reason_he
EPkNtdXkWpY,https://www.youtube.com/watch?v=EPkNtdXkWpY,he,מימוטו - MYMOTO,מיגון וציוד רכיבה על אופנוע,approved,description;chapters,high,4,שבעה פרקי מקור ותיאור מפורט תומכים במבנה הסקירה; לא נמצא תמלול נגיש ולכן הביטחון נשאר בינוני והטענות נשמרו כלליות.
qt262cjyWAc,https://www.youtube.com/watch?v=qt262cjyWAc,he,Ask Ralbad,ASK Ralbad | איך מרכיבים אדם נוסף בצורה בטוחה?,approved,description;transcript,high,5,"תמלול מלא של מקור בטיחות רשמי מאמת את ההשפעות הדינמיות ואת רצף התדריך, העלייה והאחיזה."
zm1MR16FaC4,https://www.youtube.com/watch?v=zm1MR16FaC4,he,מימוטו - MYMOTO,האם זה מסוכן לרכב בצורה חוקית?,approved,description;chapters;transcript,high,4,"תמלול ושבעה פרקי מקור מאמתים דוגמאות כביש קונקרטיות, אך המסקנות נורמטיביות ולכן הציון שמרני והאזהרה המשפטית מפורשת."
vHoAoVHkS64,https://www.youtube.com/watch?v=vHoAoVHkS64,he,מימוטו - MYMOTO,איך להעביר הילוכים באופנוע (באופן חלק),approved,description;chapters,high,4,"תיאור מפורט וארבעה פרקי מקור תומכים בהשוואה, אך לא נמצא תמלול נגיש ולכן נשמרה רמת ביטחון בינונית."
dF9KY2w7dmY,https://www.youtube.com/watch?v=dF9KY2w7dmY,he,FullgaZ Magazine,מדריך טכני: ניקוי ושימון שרשרת הינע,approved,description;transcript,high,5,תמלול מלא ממגזין אופנועים מאמת את סדר הפעולות ואת אזהרת המנוע הכבוי; אין Chapters ולכן לא נוספו זמנים.
dBdoSMm5N5s,https://www.youtube.com/watch?v=dBdoSMm5N5s,he,פוקס אנדורו - fox enduro,"פוקס אנדורו - הדרכות רכיבה, עמידה והעברת משקל נכונה  - אריאל דדיה.",approved,description;transcript,high,4,"התמלול מאמת הסבר מקצועי מפורט, אך אין Chapters והמקור מערב יסודות עם טכניקות אנדורו מתקדמות, ולכן הסיווג שמרני."
FUoXWECH40A,https://www.youtube.com/watch?v=FUoXWECH40A,he,Cohen Adventure (‫צביקה כהן השטח‬‎),מעבר מכשולים ברכיבה על אופנוע,approved,description;transcript,high,5,"תמלול ברור ממדריך מקצועי מאמת את הקשר בין בלימה, מתלה ומצערת ואת מגבלות התרגיל."
YH48E19KF8o,https://www.youtube.com/watch?v=YH48E19KF8o,he,Cohen Adventure (‫צביקה כהן השטח‬‎),הדרכת רכיבה בדַשְׁדַשׁ,approved,description;transcript,high,5,"תמלול עברי מלא ממדריך מקצועי מאמת את התיאור המכני, תנוחת הגוף והסתייגויות הצמיגים."
kYZQaPo2R7Q,https://www.youtube.com/watch?v=kYZQaPo2R7Q,he,הרשות הלאומית לבטיחות בדרכים,קורסים לרכיבה מתקדמת על אופנועים,approved,description;transcript,high,5,"המקור רשמי והתמלול מאמת מדריכים, הדגמות ושלבי תרגול. הוא מתעד קורס ואינו מתחזה למדריך ביצוע עצמאי."
domdIpzNKbc,https://www.youtube.com/watch?v=domdIpzNKbc,he,Netivims,משימה מספר 5 במגרש בטסט על אופנוע - או בשמה הנוסף 8! תראו טיפים לשמונה | נתיבים - בית ספר לנהיגה,approved,description;transcript,high,5,"תמלול רציף מבית ספר לנהיגה מאמת את רצף התרגיל, נקודות המבט ועבודת המצמד."
SoxnKw9sv_0,https://www.youtube.com/watch?v=SoxnKw9sv_0,he,מימוטו - MYMOTO,איך לרכב על אופנוע בחורף,approved,description;chapters;visual_review,high,4,"שישה פרקי מקור ותיאור ייעודי מאמתים את מבנה ההדרכה, אך בהיעדר תמלול נשמרת רמת ביטחון בינונית והניסוח אינו מייחס פרטים שלא נבדקו."
3uttfaaeYrA,https://www.youtube.com/watch?v=3uttfaaeYrA,he,Cohen Adventure (‫צביקה כהן השטח‬‎),טיפים לרוכבים על אופנועים גבוהים,approved,description;transcript,high,4,"התיאור והכתוביות מאמתים את נושא ההתאמה והגובה, אך הכתוביות קצרות מן הסרטון ולכן נשמר ציון שמרני ונדרשת בדיקה חזותית משלימה."
_5-fh-qmqMg,https://www.youtube.com/watch?v=_5-fh-qmqMg,en,Autozium,Practice THIS for 15 Minutes and You’ll Ride 10x Better!,approved,description;chapters;transcript,high,4,"התיאור, שישה פרקים ותמלול מלא תומכים בשלבי התרגיל ובקישור בין הפקדים; ההבטחה בכותרת שיווקית ולכן אינה מוצגת כתוצאה מובטחת."
bJkK-Z0eDq0,https://www.youtube.com/watch?v=bJkK-Z0eDq0,en,Bennetts BikeSocial,How far can I lean on my motorcycle? | Better Riding Ep 26,approved,description;chapters;transcript,high,5,"עשרה פרקים ותמלול מפורט מציגים טיעון עקבי, תרגול מדורג ודוגמאות כביש; המקור מציג במפורש מאמן רכיבה מקצועי."
hDX4TBsPKLU,https://www.youtube.com/watch?v=hDX4TBsPKLU,en,Cross Training Adventure,Free motorbike GPS options!︱Cross Training Adventure,approved,description;chapters;transcript,high,4,חמישה פרקים ותמלול מלא מאמתים את ההשוואה ואת מגבלות הטלפון; שמות האפליקציות והמחירים עלולים להשתנות ולכן נדרשת בדיקה עדכנית.
nBhWbHKCkks,https://www.youtube.com/watch?v=nBhWbHKCkks,en,ADVMotoSkillZ,GS Exercises: Competition & Off-Road Motorcycle Skills,approved,description;chapters;transcript,high,5,"תיאור מפורט, 16 פרקי לימוד וכתוביות אנגלית ידניות מאמתים את התחנות, היעדים, הטעויות והנחיות ההתקדמות; פרק ה־Bloopers הוסר מן הניווט."
sfNLSVghgRA,https://www.youtube.com/watch?v=sfNLSVghgRA,en,Cross Training Enduro,How to ride steep downhill descents on a dirt bike︱Cross Training Enduro,approved,description;chapters;transcript,high,5,"הפרקים והתמלול מפרטים תנוחה, בלימה ומבט ואף מבחינים בין קרקע רכה למצבים אחרים; הסיכון הגבוה מוצג במפורש."
eiRMikxU3Z4,https://www.youtube.com/watch?v=eiRMikxU3Z4,en,Dirt Bike Academy,HOW TO CLIMB ‘IMPOSSIBLE HILL CLIMBS’,approved,description;chapters;transcript,high,5,"תיאור מפורט, שמונה פרקים ותמלול מלא מאמתים כל שלב ואת הטעויות; הטכניקה מתקדמת ולכן סווגה בסיכון גבוה."
lP9Z1aw776A,https://www.youtube.com/watch?v=lP9Z1aw776A,en,Luke Watson - Truck & Motorcycle Training,Counter Steering Explained: The Skill That Saves Lives | Scooter Basics #7 [Second Edition],approved,description;chapters;transcript,high,5,"שבעה פרקים ותמלול נרחב תומכים בהסבר, בתרגילים ובפרק הטעויות; המקור מזוהה כגוף הדרכת נהיגה ורכיבה."
-blfunHiGzg,https://www.youtube.com/watch?v=-blfunHiGzg,en,Roadcraft Nottingham - Motorcycle Training,Country road riding demo |  Advanced riding | Motorcycle riding tips,approved,description;chapters;transcript,high,5,"עשרים פרקים ותמלול של מדריך מוסמך מספקים ראיות מפורטות להחלטות קו, קצב והילוך; ההקשר המשפטי תלוי מדינה."
5CfJENGn07s,https://www.youtube.com/watch?v=5CfJENGn07s,en,SoCal Off-Road School,Controlling Adventure Motorcycle Standing Up | Off Road Riding Tip,approved,description;chapters;transcript,high,5,"תשעה פרקים ותמלול מלא מאמתים את רצף נקודת המגע, הורדת העקב ופנייה; יש קידום מובהק לקורס ולציוד."
sWj02x9PYdw,https://www.youtube.com/watch?v=sWj02x9PYdw,en,SoCal Off-Road School,How To Ride Rocks| Enduro Riding Tip,approved,description;chapters;transcript,high,4,"התיאור והתמלול המלא תומכים בשלושת העקרונות, אך הסרטון קצר ומספק פחות דיון במצבי קצה."
bYIzeyCubcw,https://www.youtube.com/watch?v=bYIzeyCubcw,en,TEAM Arizona Motorcyclist Training Centers,Motorcycle Safety Tips: How to Be Visible | How To Manage Intersections P2,approved,description;chapters;transcript,high,5,"חמישה פרקים ותמלול של בית ספר מוסמך תומכים במושגי נראות, מיקום ונתיב מילוט באופן ממוקד."
UILe5YDA4B8,https://www.youtube.com/watch?v=UILe5YDA4B8,en,TOPS Motorcycle Training,Brake and Escape,approved,description;chapters;transcript,high,5,"שישה פרקים ותמלול ממקור הדרכה מתקדם מאמתים את מבנה התרגיל, אופן הלחיצה והמעבר למילוט."
6yE85BVYNKY,https://www.youtube.com/watch?v=6yE85BVYNKY,en,Two Wheel Buckeyes,What Every Motorcycle Passenger Needs to Know: Dawn's Diaries,approved,description;chapters;transcript,high,4,שנים־עשר פרקים ותמלול מלא תומכים בעצות המעשיות; זהו ניסיון אישי ולא תחליף לתדריך מקצועי או לספר הרכב.
eqbeqc2xeBc,https://www.youtube.com/watch?v=eqbeqc2xeBc,en,Bennetts BikeSocial,How to Master a Motorcycle Emergency Stop | Better Riding,approved,description;chapters;transcript,high,5,"חמישה־עשר פרקים ותמלול מלא מציגים מאמן מקצועי, נתוני עצירה וסייגים לפי משטח; יש חסות וקידום מסחרי מובהקים."
-_a3Hk4Jeg8,https://www.youtube.com/watch?v=-_a3Hk4Jeg8,en,Instructor Cory,"Countersteering was hard, until I learned this!",approved,description;chapters;transcript,high,4,"התיאור, חמישה פרקים ותמלול מלא תומכים במנגנון ובתרגול; ההסבר הפיזיקלי מפושט ולכן הציון אינו מרבי."
gJH1pn4Cq68,https://www.youtube.com/watch?v=gJH1pn4Cq68,en,LET'S RIDE! Motorcycle Training,CBT Element C - Emergency stop,approved,description;chapters;transcript,high,4,שלושה פרקים ותמלול מלא ממקור הדרכה מאמתים את ההדגמות; חלק מן ההנחיות תלויות באופנוע ובשיטת ההדרכה ולכן נדרש סייג.
n13PAgtjaz0,https://www.youtube.com/watch?v=n13PAgtjaz0,en,LET'S RIDE! Motorcycle Training,CBT Element C - U-turn,approved,description;chapters;transcript,high,5,ארבעה פרקים ותמלול מלא של מדריך ראשי מספקים רצף ברור לידני ולאוטומטי וכוללים בדיקות תנועה.
ko70RgiF5OQ,https://www.youtube.com/watch?v=ko70RgiF5OQ,en,Luke Watson - Truck & Motorcycle Training,Riding in the Rain — A Complete Guide to Road Surfaces and Traction,approved,description;chapters;transcript,high,5,שמונה פרקים ותמלול נרחב ממדריך מקצועי מכסים סוגי משטח והחלטות תפעול; הסיפור האישי תומך בסיכון של הסחת מבט.
aDybIOOaYzM,https://www.youtube.com/watch?v=aDybIOOaYzM,en,Street Skills Moto,Zoom Motorcycle Coaching Session: Vision & Cornering Lines,approved,description;chapters;transcript,high,4,"חמישה פרקים ותמלול מלא מאוד מספקים עומק, אך פורמט מפגש זום ארוך ופחות מובנה מקשה על שימוש מהיר."
8RC4KpQmSBY,https://www.youtube.com/watch?v=8RC4KpQmSBY,en,1st Gear Motorcycle Training School,MOD 1 Test – U Turn Technique Made Simple,approved,description;transcript,high,5,התמלול המלא ממקור הדרכה מנוסה מתאר טכניקה וטעויות בפירוט; אין פרקי YouTube ולכן הניווט פחות מדויק.
JN8c-OWRPkY,https://www.youtube.com/watch?v=JN8c-OWRPkY,en,1st Gear Motorcycle Training School,MOD 1 Test – What the Examiner Wants: Hazard Avoidance,approved,description;transcript,high,5,תמלול מלא ומפורט מבית ספר מאושר מאמת את רצף התרגיל; ההקשר והמהירות תלויי מבחן מקומי.
-4MAlj_S52Q,https://www.youtube.com/watch?v=-4MAlj_S52Q,en,ADVMotoSkillZ,How Your Vision Can Keep You On Line In ADV Motorcycle Riding - Motorcycle Agility Course Training,approved,description;transcript,high,4,תיאור ותמלול מלא מאמתים את דוגמאות המבט והקו; אין פרקים והמקור ממליץ על סרטון מקדים לאיזון פעיל.
8RsJvOk1FvQ,https://www.youtube.com/watch?v=8RsJvOk1FvQ,en,Autozium,Tight U-Turns Are Easy Once You Learn This Secret...,approved,description;transcript,high,4,תיאור ותמלול מלא תומכים בכל מרכיבי הפרסה; הכותרת מבטיחה קלות ולכן הטענה השיווקית אינה מאומצת.
PMtBYt19pD4,https://www.youtube.com/watch?v=PMtBYt19pD4,en,Autozium,The Secret to Perfect U-Turns Every Time,approved,description;transcript,high,4,התיאור והתמלול מפרטים חמש טעויות ופתרונות; אין פרקים והניסוח השיווקי דורש ציפיות מתונות.
hVnR2QeRxTI,https://www.youtube.com/watch?v=hVnR2QeRxTI,en,Autozium,8 Motorcycle Safety Tips Every Rider Over 50 Needs To Know,approved,description;transcript,high,4,"התיאור ותמלול מלא תומכים בשמונה הנושאים, אך העצות כלליות ואינן מחליפות הערכה רפואית או הדרכת רכיבה."
cM4YrRjKVUc,https://www.youtube.com/watch?v=cM4YrRjKVUc,en,Bret Tkacs ADV,Making U-Turns Easy on Big Adventure Motorcycles,approved,description;chapters;transcript,high,5,"מדריך ותיק מזוהה, תיאור, חמישה פרקי מקור וכתוביות אנגלית ידניות מאמתים את טכניקת המבט, Dip and Go, כיוון הפקדים ובדיקת כבל הגז."
ShWc7D5HllY,https://www.youtube.com/watch?v=ShWc7D5HllY,en,ChampSchool,Trail Braking Explained in Under 3 Minutes!,approved,description;transcript,high,5,תמלול מלא ממאמן ChampSchool מאמת את מודל העומס וההפחתה; הקיצור מועיל אך אינו מכסה מגוון משטחים.
NWHX807Xq9Y,https://www.youtube.com/watch?v=NWHX807Xq9Y,en,Clinton Smout,How to go over logs motorcycling,approved,description;transcript,high,5,התיאור ותמלול מלא ממפעיל בית ספר מאמתים את רצף התרגיל ואת התאמתו למכשולים בגבהים שונים.
wsokPULhmv0,https://www.youtube.com/watch?v=wsokPULhmv0,en,Dirt Bike Academy,"MUD, RAIN, & CONTROL: THE SKILLS EVERY RIDER NEEDS",approved,description;transcript,high,5,תיאור ותמלול מלא מבית ספר תומכים בעצות ובסייג לתנוחת הגוף; יש קידום קורסים והשכרה.
bO88ooYOLhw,https://www.youtube.com/watch?v=bO88ooYOLhw,en,Low Altitude Flyer,Emergency Braking in a Straight Line: 20 MPH - Lesson 4 Training Clip,approved,description;transcript,high,5,"תמלול מלא מציג תרגיל מדוד, חזרות ומשוב; המקור מזוהה כקליפ הכשרה מקצועי."
0Llcyhyh8vY,https://www.youtube.com/watch?v=0Llcyhyh8vY,en,Luke Watson - Truck & Motorcycle Training,Pre-Ride Checks Real-Time | Watch Me Do It | Scooter Basics Part 11,approved,description;transcript,high,4,תיאור ותמלול מלא ממדריך מאמתים את הסדר; חלק מבדיקת הצמיג מהירה מדי ולכן נוסף סייג למדידה.
9hgXMIY4cbc,https://www.youtube.com/watch?v=9hgXMIY4cbc,en,MXHideout,How To Comfortably Stand While Riding A Dirt Bike On Trails [Ep20],approved,description;transcript,high,4,התיאור ותמלול מלא תומכים במכניקת הגוף; המקור מקדם מדריך חינמי אך התוכן ההדרכתי ממוקד.
FNLUBBMypmI,https://www.youtube.com/watch?v=FNLUBBMypmI,en,Motorcycle Lessons UK,Motorcycling in the RAIN & DARK [safety tips],approved,description;transcript,high,5,"תיאור ותמלול מלא של גוף הדרכה מכסים ציוד, תפעול ומפגעים בזמן רכיבה ממשית; איכות הקול משתנה אך הראיות ברורות."
5pUSer1l8jI,https://www.youtube.com/watch?v=5pUSer1l8jI,en,OFFroad-OFFcourse,The best tire pressure! For offroad and adventure bikes,approved,description;transcript,high,4,תיאור ותמלול מלא תומכים בטווח המוצע ובפשרות; המספרים אינם אוניברסליים ולכן נוסף סייג מחמיר.
Z4z0mCP8UPk,https://www.youtube.com/watch?v=Z4z0mCP8UPk,en,Peak Rider Services,Advanced Motorcycling - Overtaking,approved,description;transcript,high,5,תיאור ותמלול ממקור הדרכה מקצועי מאמתים שני תרחישים ורצף החלטות; ההקשר מחייב התאמה לחוק המקומי.
iw9zeS0wLW8,https://www.youtube.com/watch?v=iw9zeS0wLW8,en,PetroHead,How To Ride a Motorcycle For Beginners (revised 2025 edition),approved,description;transcript,high,4,תמלול מלא מאוד מכסה את רצף המתחיל; המקור מקדם קורס מסחרי והסרטון אינו מחליף הדרכה חוקית.
MwZSi-LHWuw,https://www.youtube.com/watch?v=MwZSi-LHWuw,en,ProRider- Advanced Motorcycle Skills Training,ProRider - Riding With a Passenger in the Cone Course,approved,description;transcript,high,4,תמלול מלא ממקור אימון מתקדם מאמת את העלייה והמסלול; הסרטון קצר ומקדם חברות בתשלום.
51gsYMB2beQ,https://www.youtube.com/watch?v=51gsYMB2beQ,en,RIDER GUIDER,HOW TO OVERTAKE ON A MOTORBIKE,approved,description;transcript,high,3,"התמלול תומך בנקודות המרווח וההילוך, אך המקור קהילתי והדיון כולל דעות על ערוץ אחר, לכן הביטחון נמוך יותר."
SpEl45M02sI,https://www.youtube.com/watch?v=SpEl45M02sI,en,RIDER GUIDER,MOTORCYCLE ROAD POSITIONING MASTERCLASS A LEARNERS GUIDE,approved,description;transcript,high,4,תיאור ותמלול מלא מאמתים את עקרון לראות ולהיראות; המקור קהילתי ולכן אינו מוצג כסטנדרט רשמי.
Rmd7mV_a_i8,https://www.youtube.com/watch?v=Rmd7mV_a_i8,en,Relishlife,How to Ride Safely at Night on a Sportbike1,approved,description;transcript,high,3,"תמלול מלא תומך בעקרונות, אך התיאור שיווקי מאוד והמקור אינו מזוהה כבית ספר; הנתונים המספריים לא אומצו."
fm88yhrX9bk,https://www.youtube.com/watch?v=fm88yhrX9bk,en,Ride or Die Motorcycles,How Do I Load Luggage For Optimal Motorcycle Weight Distribution? - Ride or Die Motorcycles,approved,description;transcript,high,4,תיאור ותמלול מלא תומכים בעקרונות החלוקה; המקור קהילתי ולכן הוראות היצרן נשארות סמכות עליונה.
lcauMhznleg,https://www.youtube.com/watch?v=lcauMhznleg,en,Ride or Die Motorcycles,How To Navigate On An Adventure Touring Trip? - Ride or Die Motorcycles,approved,description;transcript,high,4,תיאור ותמלול מלא תומכים בשלבי התכנון; שמות שירותים משתנים ולכן העקרונות חשובים מן המוצר.
k6mUJ309W3k,https://www.youtube.com/watch?v=k6mUJ309W3k,en,Roadcraft Nottingham - Motorcycle Training,Smoother riding with good throttle control: Motorcycle riding tips 2020,approved,description;transcript,high,5,תמלול מלא של מדריך ותיק מתאר תרגיל ברור והדגמת כביש; יש קידום וקישור לתרומות.
y1_j_49as9s,https://www.youtube.com/watch?v=y1_j_49as9s,en,SIK Baggers,⚡Complete Guide to T-CLOCS Motorcycle Inspection Checklist for Ultimate Safety⚡,approved,description;transcript,high,4,תמלול נרחב עובר על הרשימה הרשמית; המקור אינו גוף MSF ולכן נוספה הפניה למסמך ולספר הרכב.
3QNTu2pzRfg,https://www.youtube.com/watch?v=3QNTu2pzRfg,en,SoCal Off-Road School,Top 3 Off Road Riding Tips|Dual Sport Enduro ADV,approved,description;transcript,high,5,תיאור ותמלול מלא ממדריך בית ספר מאמתים שלושה יסודות ואת טעויות הרקע; יש קידום לקורסים.
5S4fHLYnjgM,https://www.youtube.com/watch?v=5S4fHLYnjgM,en,SoCal Off-Road School,Hand Position When Sitting And Standing| Adventure Motorcycle Riding Tip,approved,description;transcript,high,5,תיאור ותמלול מלא ממדריך מאמתים את זוויות היד והפקדים; יש קידום אקדמיה וניוזלטר.
5uiMlyOgjjg,https://www.youtube.com/watch?v=5uiMlyOgjjg,en,SoCal Off-Road School,ADV Offroad Seating Position| Big Bike Riding Tips,approved,description;transcript,high,5,תיאור ותמלול מלא של מדריך מספקים הדגמה מקורבת ומקשרים תנוחה לאחיזת קדמי.
vFRDMa7gwIU,https://www.youtube.com/watch?v=vFRDMa7gwIU,en,Suzuki2Wheelers,Mastering the Pre-Ride Inspection: Ensuring safety before every journey,approved,description;transcript,high,4,תיאור ותמלול מלא מערוץ יצרן מאמתים את הרשימה; ערכי מדידה מדויקים נשארים לפי ספר הדגם.
eTBshYyXrW0,https://www.youtube.com/watch?v=eTBshYyXrW0,en,TWO WHEELS PARADISE,🌙🏍️ MOTORCYCLE NIGHT RIDING SAFETY TIPS 🏍️🌙,approved,description;transcript,high,4,תמלול מלא תומך בבדיקות ובדוגמאות מקומיות; המקור אינו בית ספר ולכן התוכן משמש רשימת הכנה משלימה.
i1eqhcPC6g8,https://www.youtube.com/watch?v=i1eqhcPC6g8,en,TWO WHEELS PARADISE,🌙🏍️ RIDING A MOTORCYCLE AT NIGHT FOR BEGINNERS 🏍️🌙,approved,description;transcript,high,4,"תמלול מלא תומך בנראות, מרחק ומפגעים; זהו מקור קהילתי ולכן העצות משלימות הדרכה מוסמכת."
ZCCxERsvQdw,https://www.youtube.com/watch?v=ZCCxERsvQdw,en,Two-Wheel Truth,12 DEADLY Motorcycle Packing Mistakes You're Making,approved,description;transcript,high,3,התמלול תומך בעצות האריזה אך כולל מספרים דרמטיים ללא מקור גלוי; הוכנסו רק העקרונות המעשיים.
oZiD8uxH0hQ,https://www.youtube.com/watch?v=oZiD8uxH0hQ,en,Wanderlust Revs,"Sand, Mud, Ruts? This Drill Fixes Everything | ADV Fundamentals with Chris Birch",approved,description;transcript,high,5,תיאור ותמלול מלא של אימון כריס בירץ' מאמתים את התרגיל והתיקונים; המקור המציג הוא ערוץ קהילתי.
ov7AqO_51iI,https://www.youtube.com/watch?v=ov7AqO_51iI,en,Youthbuddy,Night Driving Guide for Bike Riders | Safe Night Riding Tips | Youth Buddy,approved,description;transcript,high,4,"תיאור ותמלול מלא מכסים הכנה, קצב וחירום; המקור הכללי אינו בית ספר ולכן מוצג כמבוא בלבד."
h5YrGuIGgVI,https://www.youtube.com/watch?v=h5YrGuIGgVI,en,Big Rock Moto,7 Surprising Lessons from Advanced ADV Training with Chris Birch,approved,description;chapters;transcript,high,5,תשעה פרקים ותמלול מלא תומכים בשבע התובנות ומזהים את כריס בירץ' כמאמן; יש חסות וקישורים מסחריים.
6tlSdNGLPkY,https://www.youtube.com/watch?v=6tlSdNGLPkY,en,CanyonChasers,"The Always, Onlys and Nevers of Motorcycle Riding",approved,description;chapters;transcript,high,5,חמישה פרקים ותמלול מלא עם הפניות למקורות הדרכה תומכים בניתוח; הערוץ כולל חברות וחסויות.
HlZvuK_3kPQ,https://www.youtube.com/watch?v=HlZvuK_3kPQ,en,DanDanTheFireman,5 Motorcycle Pre-Ride Checks You Need to Do!,approved,description;chapters;transcript,high,4,שישה פרקים ותמלול מלא מאמתים כל בדיקה; הסרטון כולל קידום קורסים וקישורי הנחה.
bQws3UL3lSc,https://www.youtube.com/watch?v=bQws3UL3lSc,en,DanDanTheFireman,5 Motorcycle Road Hazards You Need To Watch Out For,approved,description;chapters;transcript,high,4,שבעה פרקים ותמלול מלא מספקים דוגמאות מגוונות; פרק הגרלה שיווקי יוסר מן הפרקים.
2HTa9iHvI6U,https://www.youtube.com/watch?v=2HTa9iHvI6U,en,FTA Adventures,5 TIPS FOR COMFORT ON A LONG MOTORCYCLE TRIP,approved,description;chapters;transcript,high,5,"שישה פרקים ותמלול מלא תומכים בכל חמש העצות; יש ספר, Patreon וקישורי שותפים."
1LVSrs4HucI,https://www.youtube.com/watch?v=1LVSrs4HucI,en,Moto Control,"How to make Amazing U-Turns, like Japanese Police",approved,description;chapters;transcript,high,5,שמונה פרקים ותמלול מלא מאמתים את ההשוואה והתרגיל; הסרטון מקדם קורסים וחסות.
S36MgsVsHsA,https://www.youtube.com/watch?v=S36MgsVsHsA,en,Moto Control,Mastering the FRICTION ZONE - Slow speed motorcycle clutch control,approved,description;chapters;transcript,high,5,שישה פרקים ותמלול מלא תומכים בשלבי הלימוד ובאזהרת הרגליים; יש קורסים וחסות.
GerHAGwhX9k,https://www.youtube.com/watch?v=GerHAGwhX9k,en,Riding in the Ozarks,15 Group Riding Tips for Motorcyclist! Motorcycle Safety!,approved,description;chapters;transcript,high,4,"פרקים ותמלול מלא מכסים 15 עצות; זהו מקור מנוסה אך לא בית ספר, ויש קישורי שותפים וחברות."
LvmXbZlf6M8,https://www.youtube.com/watch?v=LvmXbZlf6M8,en,Taylor Mackenzie,Motorcycle Riding Tips To Ride Like A Pro!,approved,description;chapters;transcript,high,5,עשרה פרקים ותמלול מלא מרוכב מרוצים מקצועי מאמתים את הנושאים; התוכן מסחרי ומוכוון מסלול.
6VjSNKBobko,https://www.youtube.com/watch?v=6VjSNKBobko,en,ExpertVillage Leaf Group,How to Carry Passengers on a Motorcycle,approved,description;transcript,high,4,תיאור ותמלול קצר מאמתים התאמת אופנוע ותנוחה; העומק מוגבל ולכן הסרטון משמש מבוא בלבד.
