youtube_video_id,start_seconds,end_seconds,title_original,decision,decision_reason_he
q58g03DSHIs,288,292,disengage the clutch,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
q58g03DSHIs,292,309,pinches up against the two fingers around the handlebars,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
q58g03DSHIs,309,334,start to ease that clutch into the engagement area,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
q58g03DSHIs,334,343,use full brakes with just two fingers,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
q58g03DSHIs,343,374,put roughly ten to fifteen millimeters of free play,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
q58g03DSHIs,374,434,turn the handlebars all the way left and all the way,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
q58g03DSHIs,434,483,drop the preload on both sides,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
GqfRGMw8gvQ,0,23,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
GqfRGMw8gvQ,23,51,Relax,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
GqfRGMw8gvQ,51,100,Cornering,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
GqfRGMw8gvQ,100,134,Stay to the Right,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
GqfRGMw8gvQ,134,166,Limit yourself,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
GqfRGMw8gvQ,166,243,Keep Your Eyes Up,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
-XhyYOfp7zg,0,25,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
-XhyYOfp7zg,25,149,Gravel,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
-XhyYOfp7zg,149,232,Speed,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
-XhyYOfp7zg,232,351,Braking,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
-XhyYOfp7zg,351,375,Attitude,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
-XhyYOfp7zg,375,486,Tire Pressure,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
-XhyYOfp7zg,486,504,Subscribe,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
-XhyYOfp7zg,504,853,Sitting,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
-XhyYOfp7zg,853,883,Equipment,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
-XhyYOfp7zg,883,993,Boots,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
-XhyYOfp7zg,993,1047,Outro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
Ykxd14ynecQ,0,30,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
Ykxd14ynecQ,30,160,Balance Exercises,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
Ykxd14ynecQ,160,253,Balance Point,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
Ykxd14ynecQ,253,494,Warm Up,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
EJNSrWDQYUY,0,28,Borrego Springs Scenic Intro,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
EJNSrWDQYUY,28,45,Welcome to MOTOTREK,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
EJNSrWDQYUY,45,105,Front and Rear Brake Exercises,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
EJNSrWDQYUY,105,220,Smooth Clutch Control,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
EJNSrWDQYUY,220,289,Smooth Clutch and Throttle Control,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
EJNSrWDQYUY,289,350,Body Stabilization - Balance Exercise,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
EJNSrWDQYUY,350,405,Clutch Friction Zone Circle Exercise,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
EJNSrWDQYUY,405,486,Wrap-up,remove_generic,כותרת סיכום כללית שאינה מסייעת לניווט מקצועי.
hN0vylh__lo,0,35,Colorado Scenic Intro,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
hN0vylh__lo,35,75,Braking Anxiety,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
hN0vylh__lo,75,105,Body Position for Front Braking,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
hN0vylh__lo,105,112,Pull the Clutch In,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
hN0vylh__lo,112,146,Apply the Front Brake Gently,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
hN0vylh__lo,146,193,Practice on Different Traction,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
hN0vylh__lo,193,225,Front vs Rear Brakes,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
hN0vylh__lo,225,249,ABS Front Braking,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
hN0vylh__lo,249,289,Wrap -up Recommendations,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
7b5FPbTxfs8,0,80,Street Riders,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
7b5FPbTxfs8,80,186,Stand on the Pegs,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
7b5FPbTxfs8,186,258,Relax,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
7b5FPbTxfs8,258,344,Counterbalance,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
7b5FPbTxfs8,344,378,Trail Drumming Outro,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
HevLOY3Bzdg,125,174,apply rear brake,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
HevLOY3Bzdg,174,223,apply just enough pressure that the brake pads are rubbing,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
HevLOY3Bzdg,223,274,resting on the brake lever,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
HevLOY3Bzdg,274,347,grab the brakes we tuck the front end,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
HevLOY3Bzdg,347,387,keep a nice light grip to the handlebars,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
sqWbMOZ4DOA,72,323,walk the hill,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
sqWbMOZ4DOA,323,375,putting on a peg of the motorcycle,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
sqWbMOZ4DOA,375,460,start with releasing the front brake,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
sqWbMOZ4DOA,460,713,entering the rut,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
vWdFiGoTOBA,0,50,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
vWdFiGoTOBA,50,98,Vision,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
vWdFiGoTOBA,98,181,Balance,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
vWdFiGoTOBA,181,236,Foot Position,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
vWdFiGoTOBA,236,260,Zero Grip,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
vWdFiGoTOBA,260,293,Follow the Terrain,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
vWdFiGoTOBA,293,409,Tires,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
rlcGpTJl16U,120,152,stay perpendicular to the planting,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
rlcGpTJl16U,152,164,stay up on the foot pegs of the bike,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
rlcGpTJl16U,164,255,stay perpendicular to the planet,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
TDCajc6HYRE,16,30,First Bike Setup,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
TDCajc6HYRE,30,85,Tire Pressure,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
TDCajc6HYRE,85,129,Riding Technique for Soft Sand,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
TDCajc6HYRE,129,243,Body Position,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
TDCajc6HYRE,243,275,Cornering,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
TDCajc6HYRE,275,309,Braking,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
TDCajc6HYRE,309,365,Look Ahead,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
h4hw5mEBxIE,0,35,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
h4hw5mEBxIE,35,76,How we learn,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
h4hw5mEBxIE,76,127,Exercises,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
h4hw5mEBxIE,127,229,Step by step,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
h4hw5mEBxIE,229,316,Correcting mistakes,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
h4hw5mEBxIE,316,412,Practice,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
Emksn0vHd6k,0,84,פתיח,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
Emksn0vHd6k,84,205,מה הולכים לעשות היום?,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
Emksn0vHd6k,205,297,יוצאים לדרך,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
Emksn0vHd6k,297,458,תחנה 1: תרגול מבט ותכנון קדימה,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
Emksn0vHd6k,458,544,תחנה 2: יציבה נכונה ושיפוע צד,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
Emksn0vHd6k,544,691,הפסקת קפה לצהריים,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
Emksn0vHd6k,691,1220,עצירה וזינוק בעליה,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
Emksn0vHd6k,1220,1426,סיכום ופידבק של הרוכבים,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
NVW3lk0_SKY,0,20,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
NVW3lk0_SKY,20,90,Lane Positioning,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
NVW3lk0_SKY,90,161,Speed,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
NVW3lk0_SKY,161,274,Target fixation,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
NVW3lk0_SKY,274,395,Stop in the distance,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,0,20,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
18eqTsDfzDU,20,69,Threshold Braking,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,69,155,ABS,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,155,260,Average Rider,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,260,331,Baseline,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,331,449,Bosch,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,449,469,Jay,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,469,980,Introduction,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
18eqTsDfzDU,980,1016,Expert Opinion,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,1016,1301,Expert Interview,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,1301,1372,ABS vs Threshold Braking,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,1372,1456,Is Threshold Braking Necessary,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,1456,1617,How Many Riders Have Good Braking Skills,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
18eqTsDfzDU,1617,1966,A Close Call,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,104,143,keeps the tires from locking up and skidding,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,143,245,use these braking systems as a backup,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,245,277,initiate every stop with the front and the rear,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,277,291,initiate braking with both brakes,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,291,323,finish the stop using the rear brake,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,323,364,finish the stop maintaining the rear brake,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,364,385,apply that braking power to the front brake,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,385,411,get the motorcycle to a stop,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,411,466,continue applying pressure to that front brake,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,466,501,use the rear brake for slow speed control,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
jHhRZLHA-cA,501,612,apply the front brake with the handlebars turned,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
7Ix1B9MjKOQ,0,60,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
7Ix1B9MjKOQ,60,103,Welcome,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
7Ix1B9MjKOQ,103,160,Overview,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
7Ix1B9MjKOQ,160,381,Technique,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
7Ix1B9MjKOQ,381,429,Outro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
824lwgKbv-M,136,222,wheels are turning your feet should be up on the pegs,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
824lwgKbv-M,222,278,relax your upper body on the motorcycle,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
824lwgKbv-M,278,391,controlling the speed of the motorcycle with the clutch,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
824lwgKbv-M,391,403,add a slight pause without putting your feet,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
824lwgKbv-M,403,473,get the motorcycle to a complete stop,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
doVLIwQbnWs,0,141,Move Your Eyes Faster,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
doVLIwQbnWs,141,268,Start On The Outside,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
doVLIwQbnWs,268,547,Counter Steer,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
doVLIwQbnWs,547,828,Acceleration,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
M5ljhx0qTAM,0,75,Why Over-Slowing Happens,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
M5ljhx0qTAM,75,228,Fast Eyes = Smooth Lines,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
M5ljhx0qTAM,228,385,"Braking: Earlier, Lighter, Longer",keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
M5ljhx0qTAM,385,431,Why Downshifting Might Be Making Things Worse,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
yBjN7N_n_Ww,214,256,Motorcycles Change Direction by Leaning,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
yBjN7N_n_Ww,256,338,Counter Steering,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
yBjN7N_n_Ww,338,544,Grip Comes from Weight,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
yBjN7N_n_Ww,544,809,Trail Braking,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
y5vUZouBNgE,120,147,FOLLOW MY BACK WITH YOUR CHEST,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
y5vUZouBNgE,147,203,TIGHT HANDS ARE A SIGN OF FEAR FEAR,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
y5vUZouBNgE,203,240,HANDS LOOSE KNEES TIGHT LET THE BIKE BLOW AND COUNTERSTEER ACCORDING,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
KmCPtVARyS0,0,45,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
KmCPtVARyS0,45,188,Footpeg Pressure,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
KmCPtVARyS0,188,306,Front Wheel Float,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
KmCPtVARyS0,306,445,Slipping Clutch,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
KmCPtVARyS0,445,547,Rear Wheel Steering,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
KmCPtVARyS0,547,616,Looking Where You Go,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
KmCPtVARyS0,616,767,Emergency Braking,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
yE7N9ft_hMI,0,74,Intro,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
yE7N9ft_hMI,74,97,Stay within your comfort zone,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
yE7N9ft_hMI,97,161,Keep it well maintained,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
yE7N9ft_hMI,161,371,Protective gear,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
2XP_qr9NNcc,84,194,Danger Zones,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
2XP_qr9NNcc,194,326,Stretches,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
2XP_qr9NNcc,326,444,Highway Hypnosis,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
FQp-0v2ddQ0,0,53,Borrego Springs Scenic Demo,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
FQp-0v2ddQ0,53,110,Welcome to MOTOTREK,remove_generic,כותרת ניווט כללית שאינה מתארת תוכן לימודי.
FQp-0v2ddQ0,110,210,Left Side Fall Recovery,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
FQp-0v2ddQ0,210,285,Right Side Fall Recovery,keep_verified,פרק YouTube אמיתי שמתאר נושא לימודי ספציפי; הזמנים נשמרו ללא שינוי.
